material_name,category,unit,city,supplier_name,avg_price_sar,price_date,quality_grade
Paint (gallon),Paint,gal,Buraydah,Saudi Building Materials Co.,57.01,2024-02-28,Standard
Paint (gallon),Paint,gal,Buraydah,Qassim Cement,57.01,2024-06-19,Economy
Paint (gallon),Paint,gal,Buraydah,Al-Yamama Steel,57.01,2024-12-14,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Buraydah,Al-Safi Danone,21.72,2024-01-15,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Buraydah,Al-Yamama Steel,21.72,2024-09-24,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Buraydah,Yamama Cement,27.12,2024-06-01,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Buraydah,Saudi Cable,27.12,2024-04-05,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Buraydah,Saudi Ceramics,4.42,2024-01-19,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Buraydah,Al-Fanar Group,4.42,2024-08-23,Premium
Aluminum Window (m2),Aluminum Window,m2,Buraydah,Al-Ghurair,670.1,2024-01-17,Premium
Aluminum Window (m2),Aluminum Window,m2,Buraydah,Saudi Ceramics,670.1,2024-08-15,Economy
Wooden Door (no),Wooden Door,no,Buraydah,Al-Rajhi Steel,1054.08,2024-01-15,Economy
Wooden Door (no),Wooden Door,no,Buraydah,Al-Jabr Trading,1054.08,2024-06-23,Standard
Wooden Door (no),Wooden Door,no,Buraydah,Al-Rajhi Steel,1054.08,2024-05-18,Premium
Gypsum Board (m2),Gypsum Board,m2,Buraydah,Saudi Chemical Co.,32.77,2024-02-13,Premium
Gypsum Board (m2),Gypsum Board,m2,Buraydah,Al-Yamama Steel,32.77,2024-04-07,Standard
Steel Section (ton),Steel Section,ton,Buraydah,Safwa Cement,3660.05,2024-04-23,Economy
Glass (m2),Glass,m2,Buraydah,Saudi Chemical Co.,157.95,2024-09-07,Standard
Glass (m2),Glass,m2,Buraydah,Al-Omran Group,157.95,2024-10-15,Premium
Cement (ton),Cement,ton,Khamis Mushait,Saudi Elevator,335.51,2024-05-10,Economy
Cement (ton),Cement,ton,Khamis Mushait,Bin Laden Group,335.51,2024-02-22,Premium
Cement (ton),Cement,ton,Khamis Mushait,Dubai Cable,335.51,2024-12-22,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Khamis Mushait,ABB Saudi,3170.3,2024-07-05,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Khamis Mushait,Al-Omran Group,3170.3,2024-12-26,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Khamis Mushait,National Gypsum,3170.3,2024-02-02,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Khamis Mushait,Saudi Elevator,251.62,2024-02-23,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Khamis Mushait,Al-Yamama Steel,251.62,2024-11-17,Premium
Hollow Block (m2),Hollow Block,m2,Khamis Mushait,Saudi Elevator,29.66,2024-05-16,Standard
Hollow Block (m2),Hollow Block,m2,Khamis Mushait,Al-Wehaiby Co.,29.66,2024-12-16,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Khamis Mushait,Dubai Cable,48.8,2024-05-28,Premium
Marble (m2),Marble,m2,Khamis Mushait,Saudi Elevator,139.28,2024-09-18,Economy
Paint (gallon),Paint,gal,Khamis Mushait,Kone Saudi,49.6,2024-02-16,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Khamis Mushait,ABB Saudi,20.21,2024-11-27,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Khamis Mushait,Saudi Ceramics,20.21,2024-09-18,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Khamis Mushait,Al-Rajhi Steel,22.93,2024-04-26,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Khamis Mushait,Al-Ghurair,22.93,2024-02-09,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Khamis Mushait,Saudi Plaster,3.79,2024-03-23,Economy
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Khamis Mushait,Al-Ghurair,3.79,2024-12-04,Economy
Aluminum Window (m2),Aluminum Window,m2,Khamis Mushait,Al-Babtain Group,566.14,2024-11-11,Economy
Aluminum Window (m2),Aluminum Window,m2,Khamis Mushait,Saudi Plaster,566.14,2024-05-21,Premium
Wooden Door (no),Wooden Door,no,Khamis Mushait,Al-Rajhi Steel,954.14,2024-04-22,Standard
Wooden Door (no),Wooden Door,no,Khamis Mushait,Al-Madina Cement,954.14,2024-01-24,Premium
Wooden Door (no),Wooden Door,no,Khamis Mushait,Saudi Plaster,954.14,2024-10-14,Premium
Gypsum Board (m2),Gypsum Board,m2,Khamis Mushait,Saudi Plaster,30.56,2024-02-04,Premium
Gypsum Board (m2),Gypsum Board,m2,Khamis Mushait,Al-Jabr Trading,30.56,2024-12-02,Economy
Gypsum Board (m2),Gypsum Board,m2,Khamis Mushait,Siemens Saudi,30.56,2024-12-02,Standard
Steel Section (ton),Steel Section,ton,Khamis Mushait,Sahara PVC,3315.36,2024-05-10,Economy
Steel Section (ton),Steel Section,ton,Khamis Mushait,Al-Jabr Trading,3315.36,2024-01-24,Premium
Glass (m2),Glass,m2,Khamis Mushait,Saudi Technical Supply,141.56,2024-09-19,Standard
Glass (m2),Glass,m2,Khamis Mushait,Yamama Cement,141.56,2024-07-22,Premium
Glass (m2),Glass,m2,Khamis Mushait,National Gypsum,141.56,2024-02-18,Premium
Cement (ton),Cement,ton,Najran,Safwa Cement,307.17,2024-06-22,Premium
Cement (ton),Cement,ton,Najran,Al-Safi Danone,307.17,2024-02-01,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Najran,Al-Dabbagh Group,2687.22,2024-12-11,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Najran,Saudi Chemical Co.,2687.22,2024-05-17,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Najran,Al-Jabr Trading,2687.22,2024-02-17,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Najran,Saudi Ceramics,238.46,2024-02-10,Economy
Hollow Block (m2),Hollow Block,m2,Najran,Sahara PVC,29.5,2024-09-27,Economy
Hollow Block (m2),Hollow Block,m2,Najran,Kone Saudi,29.5,2024-09-25,Premium
Porcelain Tiles (m2),Porcelain Tiles,m2,Najran,Arabian Cement,49.85,2024-12-06,Economy
Marble (m2),Marble,m2,Najran,Al-Fanar Group,130.15,2024-05-19,Premium
Marble (m2),Marble,m2,Najran,Al-Dabbagh Group,130.15,2024-12-20,Standard
Paint (gallon),Paint,gal,Najran,Saudi Glass,50.16,2024-01-01,Standard
Paint (gallon),Paint,gal,Najran,Schneider Saudi,50.16,2024-12-23,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Najran,Arabian Construction Supply,18.44,2024-08-05,Standard
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Najran,Arabian Cement,23.44,2024-06-24,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Najran,National Ready Mix,23.44,2024-03-05,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Najran,Safwa Cement,3.87,2024-09-04,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Najran,Al-Jabr Trading,3.87,2024-04-27,Premium
Aluminum Window (m2),Aluminum Window,m2,Najran,Al-Fanar Group,565.83,2024-08-19,Premium
Aluminum Window (m2),Aluminum Window,m2,Najran,Siemens Saudi,565.83,2024-08-04,Economy
Wooden Door (no),Wooden Door,no,Najran,Al-Yamama Steel,866.44,2024-02-17,Standard
Gypsum Board (m2),Gypsum Board,m2,Najran,Saudi Glass,28.86,2024-11-07,Premium
Gypsum Board (m2),Gypsum Board,m2,Najran,Al-Ghurair,28.86,2024-05-18,Premium
Steel Section (ton),Steel Section,ton,Najran,Saudi Panel,3247.99,2024-02-02,Standard
Steel Section (ton),Steel Section,ton,Najran,Safwa Cement,3247.99,2024-08-10,Standard
Glass (m2),Glass,m2,Najran,Saudi Elevator,135.71,2024-10-07,Premium
Cement (ton),Cement,ton,Hail,Sahara PVC,341.98,2024-07-09,Economy
Cement (ton),Cement,ton,Hail,Saudi Modern Factory,341.98,2024-08-17,Premium
Cement (ton),Cement,ton,Hail,Sahara PVC,341.98,2024-09-01,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Hail,Yamama Cement,3223.26,2024-06-11,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Hail,ABB Saudi,3223.26,2024-10-11,Economy
Rebar 60ksi (ton),Rebar 60ksi,ton,Hail,Southern Province Cement,3223.26,2024-04-04,Economy
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Hail,Kone Saudi,258.85,2024-09-12,Standard
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Hail,Arabian Construction Supply,258.85,2024-04-21,Economy
Hollow Block (m2),Hollow Block,m2,Hail,Saudi Glass,31.82,2024-10-01,Premium
Porcelain Tiles (m2),Porcelain Tiles,m2,Hail,National Gypsum,51.71,2024-02-08,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Hail,Saudi Modern Factory,51.71,2024-05-17,Premium
Marble (m2),Marble,m2,Hail,Al-Fanar Group,149.15,2024-08-28,Economy
Marble (m2),Marble,m2,Hail,Al-Ghurair,149.15,2024-08-28,Standard
Paint (gallon),Paint,gal,Hail,Al-Safi Danone,52.99,2024-06-07,Standard
Paint (gallon),Paint,gal,Hail,Al-Wehaiby Co.,52.99,2024-12-04,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Hail,Safwa Cement,21.37,2024-11-08,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Hail,Al-Rajhi Steel,21.37,2024-06-23,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Hail,Al-Babtain Group,24.69,2024-04-09,Standard
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Hail,Kone Saudi,24.69,2024-06-27,Premium
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Hail,Al-Muhaidib Group,3.99,2024-10-12,Standard
Aluminum Window (m2),Aluminum Window,m2,Hail,Saudi Plaster,610.73,2024-07-06,Standard
Aluminum Window (m2),Aluminum Window,m2,Hail,Bin Laden Group,610.73,2024-12-03,Economy
Wooden Door (no),Wooden Door,no,Hail,Saudi Modern Factory,953.33,2024-02-05,Economy
Wooden Door (no),Wooden Door,no,Hail,Al-Dabbagh Group,953.33,2024-02-24,Standard
Gypsum Board (m2),Gypsum Board,m2,Hail,Saudi Technical Supply,31.17,2024-09-16,Premium
Gypsum Board (m2),Gypsum Board,m2,Hail,Al-Omran Group,31.17,2024-11-26,Standard
Gypsum Board (m2),Gypsum Board,m2,Hail,Al-Muhaidib Group,31.17,2024-06-03,Premium
Steel Section (ton),Steel Section,ton,Hail,ABB Saudi,3245.85,2024-09-16,Premium
Steel Section (ton),Steel Section,ton,Hail,Arabian Construction Supply,3245.85,2024-01-25,Standard
Glass (m2),Glass,m2,Hail,Saudi Modern Factory,148.34,2024-04-26,Standard
Glass (m2),Glass,m2,Hail,Sahara PVC,148.34,2024-01-25,Standard
