project_id,defect_type,severity,location,element_type,detected_by,confidence,status
SA-R01892,Efflorescence,High,Floor 8 - Zone C,Slab,AI,89,Verified
SA-R01893,Honeycombing,Medium,Floor 3 - Zone A,Wall,AI,98,Verified
SA-R01894,Settlement Crack,Critical,Floor 2 - Zone B,Foundation,AI,82,InProgress
SA-R01894,Efflorescence,High,Floor 2 - Zone A,Slab,AI,80,Verified
SA-R01894,Honeycombing,Medium,Floor 2 - Core Area,Wall,Inspector,97,Resolved
SA-R01895,Honeycombing,Medium,Floor 9 - Zone C,Wall,Inspector,83,InProgress
SA-R01897,Corrosion,High,Floor 1 - West Wing,Column,AI,82,Resolved
SA-R01897,Settlement Crack,Critical,Floor 18 - Zone B,Wall,AI,79,InProgress
SA-R01897,Spalling,High,Floor 11 - Zone C,Slab,AI,93,Resolved
SA-R01898,Corrosion,High,Floor 2 - Zone A,Beam,AI,84,Resolved
SA-R01898,Settlement Crack,Critical,Floor 1 - Zone A,Wall,Inspector,81,InProgress
SA-R01899,Crack,Medium,Floor 1 - Zone B,Column,Inspector,80,Open
SA-R01899,Corrosion,High,Floor 1 - West Wing,Beam,AI,86,InProgress
SA-R01901,Spalling,Critical,Floor 5 - Zone C,Slab,Inspector,99,Open
SA-R01902,Spalling,Critical,Floor 4 - Zone A,Slab,AI,97,Open
SA-R01903,Efflorescence,Low,Floor 3 - Zone C,Wall,Inspector,91,Open
SA-R01903,Honeycombing,Critical,Floor 5 - East Wing,Wall,AI,96,Resolved
SA-R01903,Efflorescence,Low,Floor 5 - Zone C,Wall,AI,83,Verified
SA-R01904,Efflorescence,Low,Floor 1 - Core Area,Slab,Inspector,78,InProgress
SA-R01908,Efflorescence,Critical,Floor 2 - West Wing,Wall,AI,98,Verified
SA-R01908,Crack,High,Floor 1 - Zone C,Beam,Inspector,76,Resolved
SA-R01909,Spalling,High,Floor 14 - West Wing,Beam,Inspector,95,Verified
SA-R01909,Efflorescence,High,Floor 10 - Zone A,Slab,Inspector,75,Open
SA-R01909,Corrosion,High,Floor 1 - Zone C,Foundation,Inspector,89,Resolved
SA-R01910,Honeycombing,Medium,Floor 4 - Zone B,Beam,Inspector,78,Verified
SA-R01913,Settlement Crack,Critical,Floor 1 - Zone A,Foundation,Inspector,83,InProgress
SA-R01914,Efflorescence,Low,Floor 1 - Zone A,Wall,AI,75,InProgress
SA-R01915,Efflorescence,Low,Floor 3 - Core Area,Wall,AI,91,Resolved
SA-R01915,Crack,High,Floor 3 - Core Area,Slab,Inspector,90,Open
SA-R01917,Settlement Crack,Critical,Floor 1 - Zone B,Foundation,Inspector,93,Open
SA-R01918,Crack,Medium,Floor 2 - Zone A,Column,AI,83,Resolved
SA-R01919,Spalling,High,Floor 2 - Zone B,Slab,Inspector,96,Resolved
SA-R01919,Honeycombing,Critical,Floor 2 - East Wing,Wall,AI,76,Open
SA-R01920,Crack,Medium,Floor 2 - Zone A,Beam,Inspector,96,Resolved
SA-R01921,Honeycombing,Medium,Floor 2 - East Wing,Column,Inspector,78,Verified
SA-R01921,Settlement Crack,Critical,Floor 2 - Zone B,Foundation,Inspector,83,Verified
SA-R01922,Efflorescence,Low,Floor 3 - Zone A,Wall,Inspector,75,InProgress
SA-R01925,Crack,Medium,Floor 1 - Zone B,Column,AI,87,InProgress
SA-R01926,Honeycombing,Medium,Floor 3 - Core Area,Column,Inspector,97,Open
SA-R01927,Crack,Medium,Floor 1 - West Wing,Beam,AI,78,Verified
SA-R01927,Honeycombing,Critical,Floor 2 - Zone B,Beam,AI,91,Verified
SA-R01928,Spalling,High,Floor 1 - Zone C,Slab,AI,75,Open
SA-R01928,Efflorescence,High,Floor 3 - Zone A,Slab,Inspector,87,Resolved
SA-R01928,Settlement Crack,Critical,Floor 1 - East Wing,Foundation,AI,93,InProgress
SA-R01930,Corrosion,Critical,Floor 1 - Zone A,Column,Inspector,98,Verified
SA-R01930,Settlement Crack,Critical,Floor 1 - East Wing,Wall,Inspector,94,InProgress
SA-R01930,Corrosion,High,Floor 1 - Zone A,Foundation,Inspector,93,Resolved
SA-R01931,Honeycombing,Critical,Floor 7 - Zone C,Wall,Inspector,80,Resolved
SA-R01931,Spalling,High,Floor 6 - Core Area,Beam,AI,88,Resolved
SA-R01932,Settlement Crack,Critical,Floor 6 - Zone C,Wall,AI,89,Open
SA-R01932,Efflorescence,Low,Floor 1 - Zone B,Slab,AI,77,Verified
SA-R01933,Efflorescence,Low,Floor 1 - East Wing,Slab,AI,92,Open
SA-R01933,Crack,Medium,Floor 1 - East Wing,Beam,Inspector,81,Verified
SA-R01935,Honeycombing,High,Floor 4 - Zone A,Column,Inspector,75,InProgress
SA-R01935,Efflorescence,Critical,Floor 1 - Zone B,Slab,Inspector,88,Verified
SA-R01935,Crack,Medium,Floor 5 - Zone C,Column,AI,78,Resolved
SA-R01937,Spalling,High,Floor 3 - East Wing,Slab,AI,94,Open
SA-R01937,Spalling,High,Floor 4 - West Wing,Column,Inspector,95,InProgress
SA-R01938,Honeycombing,High,Floor 2 - Zone A,Column,Inspector,85,Resolved
SA-R01939,Spalling,High,Floor 5 - West Wing,Beam,Inspector,83,Verified
SA-R01940,Spalling,High,Floor 5 - East Wing,Slab,AI,92,InProgress
SA-R01940,Corrosion,High,Floor 1 - Core Area,Beam,AI,96,InProgress
SA-R01941,Efflorescence,Low,Floor 3 - Zone B,Slab,AI,85,InProgress
SA-R01941,Spalling,High,Floor 1 - Core Area,Slab,AI,84,Verified
SA-R01941,Honeycombing,Medium,Floor 3 - Zone B,Wall,Inspector,82,Resolved
SA-R01942,Settlement Crack,Critical,Floor 3 - Zone A,Wall,AI,94,Open
SA-R01942,Crack,Medium,Floor 2 - West Wing,Wall,Inspector,83,Resolved
SA-R01943,Honeycombing,High,Floor 3 - East Wing,Column,AI,80,Verified
SA-R01943,Corrosion,High,Floor 2 - Zone A,Column,AI,88,Open
SA-R01943,Efflorescence,High,Floor 1 - Zone B,Wall,Inspector,99,Resolved
SA-R01944,Corrosion,High,Floor 10 - Zone A,Column,AI,95,InProgress
SA-R01944,Honeycombing,High,Floor 8 - Zone C,Column,AI,93,Resolved
SA-R01944,Crack,Medium,Floor 4 - Zone B,Wall,AI,98,Verified
SA-R01945,Crack,Medium,Floor 2 - Zone C,Beam,Inspector,81,InProgress
SA-R01945,Crack,Medium,Floor 1 - Zone C,Beam,Inspector,82,InProgress
SA-R01945,Spalling,High,Floor 2 - West Wing,Column,Inspector,83,InProgress
SA-R01947,Settlement Crack,Critical,Floor 2 - Core Area,Wall,Inspector,96,Open
SA-R01950,Efflorescence,Critical,Floor 6 - Zone A,Wall,AI,83,Open
SA-R01952,Corrosion,High,Floor 5 - East Wing,Column,Inspector,75,InProgress
SA-R01952,Honeycombing,High,Floor 2 - Zone B,Wall,Inspector,78,Open
SA-R01952,Honeycombing,Critical,Floor 4 - Zone C,Column,Inspector,75,InProgress
SA-R01953,Efflorescence,Low,Floor 2 - Zone C,Wall,Inspector,94,Verified
SA-R01953,Efflorescence,Low,Floor 4 - West Wing,Wall,AI,83,Verified
SA-R01953,Honeycombing,Medium,Floor 3 - Zone B,Wall,Inspector,84,Resolved
SA-R01955,Settlement Crack,Critical,Floor 2 - West Wing,Wall,AI,92,InProgress
SA-R01955,Honeycombing,Medium,Floor 1 - West Wing,Beam,Inspector,92,Open
SA-R01955,Crack,Medium,Floor 2 - Zone A,Slab,AI,88,Verified
SA-R01957,Crack,Medium,Floor 3 - East Wing,Column,AI,80,Verified
SA-R01958,Corrosion,High,Floor 1 - Zone B,Foundation,Inspector,99,Resolved
SA-R01959,Honeycombing,Medium,Floor 1 - West Wing,Column,AI,76,Open
SA-R01962,Honeycombing,Medium,Floor 4 - Zone C,Beam,Inspector,86,InProgress
SA-R01963,Honeycombing,Medium,Floor 1 - West Wing,Beam,AI,94,Resolved
SA-R01963,Spalling,High,Floor 3 - Zone C,Beam,Inspector,95,InProgress
SA-R01964,Honeycombing,Medium,Floor 2 - West Wing,Column,AI,99,InProgress
SA-R01964,Spalling,Critical,Floor 1 - Zone A,Column,AI,86,Verified
SA-R01964,Crack,Medium,Floor 2 - East Wing,Beam,AI,95,Open
SA-R01965,Spalling,High,Floor 2 - East Wing,Slab,Inspector,81,Resolved
SA-R01965,Corrosion,High,Floor 4 - East Wing,Foundation,Inspector,78,Open
SA-R01966,Crack,Medium,Floor 1 - East Wing,Slab,AI,94,Resolved
SA-R01967,Efflorescence,Low,Floor 10 - West Wing,Wall,AI,86,InProgress
SA-R01967,Efflorescence,Critical,Floor 24 - Core Area,Slab,AI,83,Open
SA-R01969,Honeycombing,Medium,Floor 6 - Zone A,Wall,AI,76,Resolved
SA-R01970,Spalling,High,Floor 1 - West Wing,Beam,AI,84,Open
SA-R01970,Honeycombing,Medium,Floor 2 - Zone A,Column,Inspector,96,Verified
SA-R01972,Efflorescence,Low,Floor 25 - Zone B,Slab,AI,80,Open
SA-R01972,Efflorescence,Low,Floor 2 - Zone C,Wall,Inspector,92,InProgress
SA-R01973,Honeycombing,High,Floor 2 - Zone A,Wall,Inspector,95,InProgress
SA-R01973,Crack,Medium,Floor 3 - Zone A,Column,AI,98,Open
SA-R01974,Settlement Crack,Critical,Floor 2 - West Wing,Foundation,Inspector,90,Resolved
SA-R01975,Crack,Medium,Floor 1 - Zone C,Slab,AI,96,Resolved
SA-R01975,Corrosion,High,Floor 1 - Zone C,Column,AI,79,InProgress
SA-R01975,Crack,Medium,Floor 1 - West Wing,Wall,AI,85,InProgress
SA-R01976,Spalling,Critical,Floor 2 - Zone A,Beam,AI,92,Open
SA-R01976,Efflorescence,Low,Floor 2 - Core Area,Wall,AI,81,Verified
SA-R01976,Spalling,High,Floor 1 - Core Area,Column,Inspector,91,Open
SA-R01977,Spalling,High,Floor 3 - Zone C,Beam,Inspector,81,Resolved
SA-R01980,Efflorescence,High,Floor 3 - Zone B,Wall,AI,85,Verified
SA-R01980,Honeycombing,Medium,Floor 1 - West Wing,Column,Inspector,92,Open
SA-R01980,Settlement Crack,High,Floor 2 - Zone C,Foundation,AI,94,Open
SA-R01981,Settlement Crack,Critical,Floor 7 - Zone C,Foundation,Inspector,87,Resolved
SA-R01982,Honeycombing,High,Floor 1 - Zone B,Wall,Inspector,89,InProgress
SA-R01982,Efflorescence,Low,Floor 1 - Core Area,Wall,Inspector,85,Open
SA-R01983,Honeycombing,Medium,Floor 1 - Core Area,Column,AI,77,Verified
SA-R01983,Spalling,High,Floor 1 - Zone B,Column,AI,88,Resolved
SA-R01984,Crack,Medium,Floor 2 - East Wing,Slab,AI,80,Open
SA-R01985,Crack,Medium,Floor 2 - West Wing,Slab,Inspector,95,InProgress
SA-R01986,Settlement Crack,Critical,Floor 11 - Zone A,Wall,Inspector,93,Open
SA-R01986,Settlement Crack,Critical,Floor 22 - West Wing,Foundation,AI,76,Verified
SA-R01986,Crack,Medium,Floor 37 - Zone B,Beam,Inspector,77,Open
SA-R01987,Corrosion,High,Floor 3 - Zone A,Column,Inspector,78,Verified
SA-R01988,Efflorescence,Low,Floor 1 - Zone B,Wall,Inspector,83,Resolved
SA-R01988,Efflorescence,Low,Floor 1 - West Wing,Slab,Inspector,80,InProgress
SA-R01988,Efflorescence,Low,Floor 1 - Zone C,Wall,Inspector,92,Open
SA-R01989,Settlement Crack,Critical,Floor 3 - Zone A,Foundation,AI,75,Open
SA-R01990,Settlement Crack,Critical,Floor 9 - Zone A,Foundation,Inspector,83,Verified
SA-R01991,Honeycombing,Medium,Floor 1 - East Wing,Column,Inspector,75,Open
SA-R01991,Crack,Medium,Floor 2 - West Wing,Wall,AI,98,Open
SA-R01991,Corrosion,High,Floor 1 - Zone B,Foundation,Inspector,76,Resolved
SA-R01993,Crack,High,Floor 12 - Zone A,Wall,Inspector,75,Resolved
SA-R01993,Efflorescence,Critical,Floor 30 - Zone A,Wall,AI,92,Verified
SA-R01993,Honeycombing,Medium,Floor 19 - Core Area,Wall,Inspector,98,Resolved
SA-R01994,Honeycombing,Medium,Floor 5 - Zone B,Beam,AI,76,InProgress
SA-R01994,Honeycombing,Critical,Floor 5 - Core Area,Wall,AI,93,Resolved
SA-R01995,Honeycombing,Medium,Floor 1 - Zone B,Wall,Inspector,89,Verified
SA-R01996,Crack,Medium,Floor 9 - Zone C,Slab,Inspector,79,Resolved
SA-R01997,Corrosion,High,Floor 1 - Zone C,Foundation,AI,92,Verified
SA-R01998,Honeycombing,Medium,Floor 6 - Zone A,Column,Inspector,82,Resolved
SA-R01998,Spalling,High,Floor 10 - Zone B,Beam,Inspector,92,Verified
SA-R01999,Honeycombing,Medium,Floor 3 - Zone C,Wall,Inspector,82,Open
SA-R01999,Corrosion,High,Floor 3 - Core Area,Foundation,AI,80,Verified
SA-R01999,Crack,Medium,Floor 3 - Zone A,Beam,AI,91,Resolved
SA-R02000,Corrosion,High,Floor 1 - Zone A,Beam,AI,78,InProgress
SA-R02003,Spalling,Critical,Floor 5 - Zone C,Slab,AI,79,Verified
SA-R02005,Corrosion,Critical,Floor 5 - Zone A,Foundation,AI,96,Open
SA-R02005,Corrosion,High,Floor 3 - East Wing,Column,Inspector,92,Resolved
SA-R02007,Crack,Medium,Floor 5 - Core Area,Wall,Inspector,84,InProgress
SA-R02007,Honeycombing,Medium,Floor 1 - Zone A,Wall,Inspector,91,Resolved
SA-R02007,Settlement Crack,Critical,Floor 3 - Core Area,Wall,AI,92,Verified
SA-R02008,Corrosion,Critical,Floor 1 - West Wing,Column,Inspector,87,Resolved
SA-R02011,Settlement Crack,Critical,Floor 2 - Zone B,Wall,Inspector,77,Open
SA-R02011,Settlement Crack,High,Floor 1 - Core Area,Wall,Inspector,76,Open
SA-R02012,Efflorescence,Low,Floor 1 - Zone C,Wall,Inspector,92,Verified
SA-R02012,Honeycombing,Medium,Floor 2 - Zone C,Wall,Inspector,91,Verified
SA-R02012,Corrosion,Critical,Floor 1 - Zone B,Foundation,Inspector,94,InProgress
SA-R02013,Honeycombing,High,Floor 4 - West Wing,Column,Inspector,97,Verified
SA-R02013,Settlement Crack,High,Floor 4 - Zone B,Foundation,Inspector,89,Verified
SA-R02013,Corrosion,High,Floor 1 - Zone B,Foundation,Inspector,97,Resolved
SA-R02014,Spalling,High,Floor 1 - Zone C,Slab,Inspector,79,Open
SA-R02014,Spalling,High,Floor 4 - East Wing,Column,AI,91,InProgress
SA-R02014,Crack,Medium,Floor 6 - West Wing,Column,AI,79,InProgress
SA-R02015,Settlement Crack,Critical,Floor 1 - East Wing,Foundation,AI,94,Resolved
SA-R02015,Efflorescence,Low,Floor 2 - Zone B,Wall,Inspector,76,InProgress
SA-R02018,Corrosion,Critical,Floor 1 - Core Area,Beam,AI,82,Resolved
SA-R02021,Honeycombing,Medium,Floor 6 - Zone A,Column,AI,80,Open
SA-R02021,Efflorescence,Low,Floor 3 - Zone A,Slab,AI,96,InProgress
SA-R02023,Efflorescence,Low,Floor 2 - Core Area,Slab,Inspector,91,InProgress
SA-R02024,Spalling,High,Floor 4 - Core Area,Column,Inspector,83,Resolved
SA-R02024,Crack,Medium,Floor 3 - Zone C,Beam,AI,83,Open
SA-R02025,Spalling,High,Floor 13 - Core Area,Slab,AI,95,Open
SA-R02025,Crack,Medium,Floor 10 - Zone C,Wall,Inspector,75,Verified
SA-R02026,Honeycombing,High,Floor 4 - Zone C,Wall,AI,87,InProgress
SA-R02026,Honeycombing,Medium,Floor 3 - East Wing,Beam,Inspector,95,InProgress
SA-R02026,Settlement Crack,Critical,Floor 1 - East Wing,Foundation,Inspector,99,Verified
SA-R02027,Crack,Medium,Floor 2 - West Wing,Column,Inspector,99,Resolved
SA-R02029,Spalling,Critical,Floor 2 - Zone A,Beam,AI,83,Open
SA-R02029,Efflorescence,Low,Floor 5 - Zone C,Slab,AI,99,InProgress
SA-R02030,Settlement Crack,Critical,Floor 1 - West Wing,Wall,AI,81,Verified
SA-R02030,Spalling,Critical,Floor 1 - West Wing,Slab,AI,97,Open
SA-R02031,Corrosion,High,Floor 1 - East Wing,Foundation,Inspector,80,Resolved
SA-R02034,Settlement Crack,Critical,Floor 1 - East Wing,Wall,Inspector,86,Resolved
SA-R02034,Crack,Medium,Floor 2 - Zone B,Beam,AI,79,InProgress
SA-R02034,Crack,Medium,Floor 1 - Core Area,Column,Inspector,84,Verified
SA-R02035,Crack,Medium,Floor 1 - Zone C,Wall,AI,78,Verified
SA-R02035,Settlement Crack,Critical,Floor 1 - West Wing,Wall,Inspector,85,InProgress
SA-R02036,Settlement Crack,Critical,Floor 4 - Zone C,Wall,Inspector,82,InProgress
SA-R02036,Honeycombing,Medium,Floor 4 - West Wing,Beam,AI,89,Resolved
SA-R02036,Crack,Critical,Floor 3 - Core Area,Beam,AI,84,Verified
SA-R02038,Settlement Crack,Critical,Floor 4 - Zone B,Wall,AI,86,Resolved
SA-R02039,Efflorescence,Low,Floor 25 - Zone B,Wall,Inspector,82,InProgress
SA-R02039,Honeycombing,Medium,Floor 20 - East Wing,Beam,Inspector,95,Resolved
SA-R02041,Corrosion,High,Floor 2 - Zone B,Foundation,Inspector,97,InProgress
SA-R02041,Settlement Crack,High,Floor 2 - Core Area,Foundation,AI,85,Verified
SA-R02042,Corrosion,High,Floor 2 - East Wing,Column,Inspector,98,Open
SA-R02042,Efflorescence,Low,Floor 1 - Zone B,Slab,Inspector,94,Verified
SA-R02043,Honeycombing,Medium,Floor 1 - Zone B,Beam,Inspector,79,Verified
SA-R02043,Spalling,High,Floor 2 - West Wing,Beam,AI,96,InProgress
SA-R02043,Honeycombing,Medium,Floor 2 - East Wing,Wall,Inspector,94,Verified
SA-R02046,Honeycombing,Critical,Floor 2 - West Wing,Wall,AI,77,Open
SA-R02046,Corrosion,High,Floor 4 - Zone B,Column,Inspector,82,Open
SA-R02046,Corrosion,High,Floor 1 - Zone A,Column,Inspector,99,Open
SA-R02047,Settlement Crack,Critical,Floor 1 - Zone B,Wall,Inspector,93,InProgress
SA-R02047,Settlement Crack,Critical,Floor 1 - Zone B,Wall,Inspector,89,Open
SA-R02048,Crack,Medium,Floor 2 - Zone C,Beam,AI,96,InProgress
SA-R02050,Efflorescence,High,Floor 2 - Core Area,Wall,Inspector,79,Resolved
SA-R02050,Efflorescence,Low,Floor 1 - West Wing,Slab,AI,89,InProgress
SA-R02054,Settlement Crack,Critical,Floor 2 - Zone C,Wall,AI,92,InProgress
SA-R02054,Honeycombing,Medium,Floor 1 - West Wing,Beam,AI,92,Resolved
SA-R02054,Honeycombing,High,Floor 4 - Zone B,Column,AI,94,InProgress
SA-R02056,Spalling,High,Floor 2 - Core Area,Beam,Inspector,88,InProgress
SA-R02056,Crack,High,Floor 2 - Zone B,Wall,Inspector,99,InProgress
SA-R02057,Efflorescence,Low,Floor 1 - East Wing,Wall,AI,87,Resolved
SA-R02057,Crack,High,Floor 2 - Zone C,Column,Inspector,97,Open
SA-R02057,Settlement Crack,Critical,Floor 3 - Zone C,Foundation,Inspector,98,InProgress
SA-R02058,Settlement Crack,Critical,Floor 34 - Zone B,Foundation,Inspector,75,Verified
SA-R02059,Settlement Crack,High,Floor 7 - East Wing,Foundation,Inspector,95,Open
SA-R02059,Crack,Critical,Floor 5 - East Wing,Slab,AI,75,InProgress
SA-R02059,Crack,High,Floor 6 - Core Area,Wall,AI,96,Verified
SA-R02060,Crack,Medium,Floor 1 - East Wing,Slab,Inspector,92,Open
SA-R02060,Settlement Crack,Critical,Floor 1 - Core Area,Wall,Inspector,75,Verified
SA-R02061,Efflorescence,Low,Floor 5 - Zone C,Slab,AI,99,Open
SA-R02061,Crack,High,Floor 1 - Zone C,Wall,Inspector,98,InProgress
SA-R02062,Efflorescence,Low,Floor 2 - East Wing,Slab,Inspector,90,Resolved
SA-R02062,Efflorescence,Critical,Floor 3 - Zone B,Slab,Inspector,82,Resolved
SA-R02062,Honeycombing,Medium,Floor 1 - West Wing,Beam,AI,91,InProgress
SA-R02063,Settlement Crack,High,Floor 1 - East Wing,Wall,Inspector,79,Open
SA-R02065,Spalling,High,Floor 14 - Core Area,Column,Inspector,91,Verified
SA-R02065,Honeycombing,Medium,Floor 35 - Zone B,Wall,Inspector,96,Resolved
SA-R02066,Efflorescence,Low,Floor 2 - Zone B,Slab,AI,85,InProgress
SA-R02066,Efflorescence,Low,Floor 3 - Zone B,Slab,AI,80,Verified
SA-R02067,Efflorescence,Low,Floor 1 - Zone A,Slab,AI,80,Resolved
SA-R02067,Efflorescence,High,Floor 1 - West Wing,Wall,AI,89,Open
SA-R02067,Settlement Crack,Critical,Floor 2 - Zone B,Wall,AI,76,Open
SA-R02068,Settlement Crack,Critical,Floor 2 - Zone B,Wall,AI,93,Open
SA-R02068,Settlement Crack,High,Floor 3 - Core Area,Wall,Inspector,99,InProgress
SA-R02068,Honeycombing,Medium,Floor 2 - West Wing,Beam,AI,93,Open
SA-R02069,Corrosion,High,Floor 11 - Zone B,Foundation,Inspector,92,Resolved
SA-R02069,Efflorescence,High,Floor 16 - Zone C,Wall,AI,81,Open
SA-R02069,Honeycombing,Medium,Floor 4 - Zone B,Column,Inspector,97,Verified
SA-R02071,Corrosion,High,Floor 8 - Core Area,Beam,Inspector,83,Verified
SA-R02073,Efflorescence,High,Floor 9 - East Wing,Slab,AI,89,InProgress
SA-R02073,Crack,Medium,Floor 5 - West Wing,Slab,Inspector,88,Verified
SA-R02073,Crack,Medium,Floor 1 - East Wing,Slab,AI,81,Resolved
SA-R02074,Settlement Crack,Critical,Floor 1 - Zone B,Wall,Inspector,98,Open
SA-R02075,Efflorescence,Low,Floor 7 - Zone C,Slab,AI,78,Verified
SA-R02076,Honeycombing,Medium,Floor 3 - Core Area,Wall,AI,89,Open
SA-R02076,Crack,Medium,Floor 2 - Core Area,Column,Inspector,80,InProgress
SA-R02077,Efflorescence,High,Floor 1 - Core Area,Slab,AI,97,InProgress
SA-R02077,Efflorescence,Low,Floor 1 - Core Area,Slab,AI,93,Verified
SA-R02077,Settlement Crack,Critical,Floor 2 - Core Area,Wall,AI,87,Verified
SA-R02079,Honeycombing,Medium,Floor 1 - Zone B,Beam,Inspector,86,Verified
SA-R02080,Efflorescence,Low,Floor 6 - Zone C,Slab,Inspector,81,Resolved
SA-R02084,Corrosion,High,Floor 1 - East Wing,Column,Inspector,85,Verified
SA-R02084,Corrosion,High,Floor 1 - Core Area,Foundation,AI,94,Open
SA-R02084,Honeycombing,Critical,Floor 1 - Core Area,Beam,AI,91,InProgress
SA-R02085,Honeycombing,Medium,Floor 1 - Zone A,Beam,Inspector,76,Open
SA-R02085,Honeycombing,High,Floor 2 - Core Area,Wall,Inspector,75,Open
SA-R02085,Honeycombing,Medium,Floor 2 - East Wing,Column,AI,97,Verified
SA-R02086,Honeycombing,Medium,Floor 4 - Zone A,Beam,Inspector,87,Open
SA-R02086,Crack,Medium,Floor 4 - Zone B,Beam,Inspector,79,Resolved
SA-R02086,Crack,Medium,Floor 6 - East Wing,Slab,AI,93,Resolved
SA-R02088,Efflorescence,Low,Floor 1 - Core Area,Wall,AI,76,Open
SA-R02089,Settlement Crack,Critical,Floor 1 - Zone B,Wall,Inspector,98,Verified
SA-R02089,Settlement Crack,Critical,Floor 4 - East Wing,Wall,Inspector,98,Verified
SA-R02091,Settlement Crack,Critical,Floor 2 - Core Area,Foundation,Inspector,91,Verified
SA-R02094,Efflorescence,Low,Floor 3 - West Wing,Slab,Inspector,76,Open
SA-R02094,Honeycombing,Critical,Floor 3 - Zone C,Beam,Inspector,90,Open
SA-R02095,Settlement Crack,Critical,Floor 3 - Zone B,Foundation,AI,81,Open
SA-R02096,Crack,Medium,Floor 2 - Zone A,Slab,Inspector,89,Verified
SA-R02097,Settlement Crack,Critical,Floor 28 - West Wing,Foundation,Inspector,94,Resolved
SA-R02099,Honeycombing,Medium,Floor 1 - Zone C,Column,Inspector,89,Verified
SA-R02100,Spalling,High,Floor 1 - East Wing,Beam,Inspector,89,Open
SA-R02100,Efflorescence,Low,Floor 5 - Zone C,Slab,AI,83,Verified
SA-R02100,Settlement Crack,Critical,Floor 4 - East Wing,Wall,Inspector,77,Open
SA-R02103,Crack,Medium,Floor 4 - Core Area,Column,Inspector,97,Verified
SA-R02103,Crack,Medium,Floor 2 - Core Area,Wall,AI,82,InProgress
SA-R02103,Settlement Crack,High,Floor 1 - West Wing,Wall,Inspector,89,Verified
SA-R02104,Efflorescence,High,Floor 4 - Zone B,Wall,AI,91,Verified
SA-R02104,Spalling,High,Floor 1 - Zone A,Slab,Inspector,94,Open
SA-R02105,Settlement Crack,Critical,Floor 2 - Core Area,Wall,Inspector,97,Open
SA-R02106,Spalling,High,Floor 4 - East Wing,Column,Inspector,96,Open
SA-R02106,Corrosion,Critical,Floor 7 - Core Area,Beam,AI,86,Open
SA-R02108,Crack,Medium,Floor 1 - Zone A,Slab,AI,99,InProgress
SA-R02109,Efflorescence,Low,Floor 7 - Core Area,Slab,Inspector,94,Verified
SA-R02109,Spalling,High,Floor 1 - Core Area,Column,Inspector,84,InProgress
SA-R02109,Settlement Crack,Critical,Floor 3 - East Wing,Foundation,Inspector,93,Resolved
SA-R02110,Efflorescence,High,Floor 2 - West Wing,Wall,Inspector,86,Resolved
SA-R02112,Spalling,High,Floor 1 - Zone A,Column,Inspector,89,Verified
SA-R02112,Settlement Crack,High,Floor 3 - Zone A,Wall,AI,92,Verified
SA-R02112,Settlement Crack,Critical,Floor 3 - Core Area,Foundation,AI,82,InProgress
SA-R02114,Corrosion,High,Floor 1 - East Wing,Foundation,Inspector,82,Verified
SA-R02114,Honeycombing,Medium,Floor 1 - Core Area,Wall,Inspector,90,InProgress
SA-R02115,Crack,Critical,Floor 2 - Zone A,Slab,AI,98,Open
SA-R02115,Honeycombing,Medium,Floor 1 - Core Area,Column,AI,85,Verified
SA-R02117,Efflorescence,Critical,Floor 2 - Zone A,Wall,Inspector,93,InProgress
SA-R02117,Settlement Crack,Critical,Floor 1 - West Wing,Foundation,Inspector,79,InProgress
SA-R02117,Settlement Crack,Critical,Floor 4 - Zone A,Foundation,AI,86,Open
SA-R02118,Honeycombing,Medium,Floor 2 - West Wing,Wall,AI,87,InProgress
SA-R02118,Crack,Critical,Floor 6 - Core Area,Column,AI,85,InProgress
SA-R02118,Settlement Crack,Critical,Floor 3 - West Wing,Foundation,AI,88,Resolved
SA-R02119,Efflorescence,Low,Floor 4 - Core Area,Wall,Inspector,98,InProgress
SA-R02120,Crack,Critical,Floor 3 - East Wing,Slab,AI,92,Open
SA-R02120,Spalling,Critical,Floor 2 - Core Area,Column,AI,77,Open
SA-R02120,Settlement Crack,Critical,Floor 2 - West Wing,Wall,Inspector,98,Open
SA-R02121,Settlement Crack,Critical,Floor 24 - West Wing,Wall,Inspector,97,Resolved
SA-R02121,Spalling,High,Floor 12 - Zone C,Column,Inspector,99,InProgress
SA-R02121,Crack,Critical,Floor 15 - Core Area,Slab,AI,79,Resolved
SA-R02122,Spalling,Critical,Floor 6 - Zone C,Beam,AI,82,Open
SA-R02123,Settlement Crack,Critical,Floor 3 - Core Area,Wall,Inspector,79,Open
SA-R02123,Honeycombing,Medium,Floor 2 - Zone B,Column,AI,77,InProgress
SA-R02124,Crack,Medium,Floor 3 - Core Area,Wall,Inspector,92,InProgress
SA-R02128,Honeycombing,Medium,Floor 4 - Zone A,Beam,AI,94,Verified
SA-R02129,Honeycombing,Medium,Floor 7 - East Wing,Wall,Inspector,92,Verified
SA-R02129,Efflorescence,Critical,Floor 2 - Zone C,Wall,AI,91,Resolved
SA-R02130,Efflorescence,High,Floor 5 - Zone A,Slab,Inspector,82,Verified
SA-R02130,Efflorescence,Low,Floor 8 - Zone B,Slab,Inspector,88,Resolved
SA-R02130,Spalling,Critical,Floor 6 - Zone C,Column,AI,91,Resolved
